canal;campanha;grupo de anúncio;data;impressões;cliques;leads;valor gasto
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45503;2700;22;4;86,75"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45503;5263;15;2;85,66"
"facebook;atr_leads | Genérica [CBO];LAL 1% COMPRADORES;45502;4006;32;5;77,73"
"facebook;atr_leads | Promo HR [CBO];VUC;45502;2878;11;3;56,5"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45502;3035;20;4;83,15"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45502;7343;33;5;88,92"
"facebook;atr_leads | Genérica [CBO];LAL 1% COMPRADORES;45501;3551;35;8;80,18"
facebook;atr_leads | Promo HR [CBO];VUC;45501;3173;14;2;61
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45501;4389;20;3;88,56"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45501;7007;32;6;89,19"
"facebook;atr_leads | Genérica [CBO];LAL 1% COMPRADORES;45500;2728;19;3;68,73"
"facebook;atr_leads | Promo HR [CBO];VUC;45500;2540;11;2;48,75"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45500;3984;15;4;79,07"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45500;5157;20;4;76,77"
"facebook;atr_leads | Genérica [CBO];LAL 1% COMPRADORES;45499;2993;27;2;72,34"
"facebook;atr_leads | Promo HR [CBO];VUC;45499;3367;14;2;51,93"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45499;3544;19;6;81,34"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45499;5175;22;5;82,53"
"facebook;atr_leads | Genérica [CBO];LAL 1% COMPRADORES;45498;3962;35;4;73,43"
"facebook;atr_leads | Promo HR [CBO];VUC;45498;2926;11;3;56,15"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45498;3651;23;2;82,67"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45498;4721;28;9;83,87"
"facebook;atr_leads | Genérica [CBO];LAL 1% COMPRADORES;45497;4529;44;5;75,42"
"facebook;atr_leads | Promo HR [CBO];VUC;45497;2978;15;6;56,53"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45497;4355;27;4;83,79"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45497;5662;26;6;83,82"
"facebook;atr_leads | Genérica [CBO];LAL 1% COMPRADORES;45496;3924;43;7;64,48"
"facebook;atr_leads | Promo HR [CBO];VUC;45496;3059;6;1;52,32"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45496;2011;6;3;26,8"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45496;4226;23;6;82,95"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45496;6318;29;4;82,92"
"facebook;atr_leads | Genérica [CBO];LAL 1% COMPRADORES;45495;3384;49;4;52,34"
"facebook;atr_leads | Promo HR [CBO];VUC;45495;3470;5;2;54,23"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45495;3870;19;6;52,44"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45495;3385;22;4;78,57"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45495;4977;29;5;80,86"
"facebook;atr_leads | Genérica [CBO];LAL 1% COMPRADORES;45494;3299;32;5;53,74"
"facebook;atr_leads | Promo HR [CBO];VUC;45494;3875;10;1;53,66"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45494;3371;25;1;53,35"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45494;3393;28;7;81,01"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45494;4442;20;7;79,64"
"facebook;atr_leads | Genérica [CBO];LAL 1% COMPRADORES;45493;2937;38;2;44,26"
"facebook;atr_leads | Promo HR [CBO];VUC;45493;2953;18;1;45,43"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45493;2484;10;;45,52"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45493;2569;25;1;70,57"
